Order Date,Sale Status,Order ID,Customer,Product Title,SKU,TSIN,Qty,Fulfilment DC,Customer DC,Gross Sales,Sold On Daily Deal/Promo,Success Fee,Fulfilment Fee,Courier Collection Fee,Stock Transfer Fee,Net Sales Amount,Shipment Name,PO Number,Date Shipped to Customer
2026-03-22,Shipped,500001,Demo Customer,Braai Master Tongs Set,KG-BRAAI-TONG-01,200001,1,JHB,JHB,349.00,,45.37,45.00,0.00,0.00,258.63,SHP-500001,510001,2026-03-23
2026-03-21,Shipped,500002,Demo Customer,Rooibos Face Cream 50ml,KG-ROOIBOS-CRM-50,200002,1,CPT,CPT,199.00,,29.85,33.00,0.00,0.00,136.15,SHP-500002,510002,2026-03-22
2026-03-20,Shipped,500003,Demo Customer,Biltong Box 1kg Premium,KG-BILTONG-1KG,200003,1,JHB,CPT,299.00,,35.88,22.00,0.00,18.00,223.12,SHP-500003,510003,2026-03-21
2026-03-19,Delivered,500004,Demo Customer,Wireless Earbuds Pro ZA,KG-EARBUDS-PRO,200004,1,JHB,JHB,899.00,,67.43,60.00,0.00,0.00,771.57,SHP-500004,510004,2026-03-20
2026-03-18,Shipped,500005,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,2,JHB,JHB,298.00,,44.70,45.00,0.00,0.00,208.30,SHP-500005,510005,2026-03-19
2026-03-17,Shipped,500006,Demo Customer,Camping Chair Deluxe,KG-CAMP-CHAIR-DX,200006,1,JHB,JHB,1499.00,,179.88,65.00,0.00,0.00,1254.12,SHP-500006,510006,2026-03-18
2026-03-16,Shipped,500007,Demo Customer,Yoga Mat Premium 6mm,KG-YOGA-MAT-6MM,200007,1,CPT,CPT,449.00,,53.88,60.00,0.00,0.00,335.12,SHP-500007,510007,2026-03-17
2026-03-15,Shipped,500008,Demo Customer,Baby Monitor WiFi,KG-BABY-MON-WIFI,200008,1,JHB,JHB,1999.00,,299.85,33.00,0.00,0.00,1666.15,SHP-500008,510008,2026-03-16
2026-03-14,Shipped,500009,Demo Customer,Garden Umbrella 3m,KG-UMBRELLA-3M,200009,1,JHB,CPT,2499.00,,299.88,130.00,0.00,75.00,1994.12,SHP-500009,510009,2026-03-15
2026-03-13,Delivered,500010,Demo Customer,Office Desk Stand Adjustable,KG-DESK-STAND-ADJ,200010,1,DBN,DBN,3499.00,,419.88,145.00,0.00,0.00,2934.12,SHP-500010,510010,2026-03-14
2026-03-12,Shipped,500011,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,1,JHB,JHB,99.00,,7.43,60.00,0.00,0.00,31.57,SHP-500011,510011,2026-03-13
2026-03-11,Shipped,500012,Demo Customer,LED Smart Bulb 4-Pack,KG-LED-BULB-4PK,200012,1,JHB,JHB,599.00,,71.88,60.00,0.00,0.00,467.12,SHP-500012,510012,2026-03-12
2026-03-10,Shipped,500013,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,1,JHB,JHB,149.00,,22.35,45.00,0.00,0.00,81.65,SHP-500013,510013,2026-03-11
2026-03-09,Shipped,500014,Demo Customer,Rooibos Face Cream 50ml,KG-ROOIBOS-CRM-50,200002,2,CPT,CPT,398.00,,59.70,33.00,0.00,0.00,305.30,SHP-500014,510014,2026-03-10
2026-03-08,Returned,500015,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,1,JHB,JHB,99.00,,7.43,60.00,0.00,0.00,31.57,SHP-500015,510015,2026-03-09
2026-03-07,Shipped,500016,Demo Customer,Braai Master Tongs Set,KG-BRAAI-TONG-01,200001,1,JHB,CPT,349.00,,45.37,45.00,0.00,18.00,240.63,SHP-500016,510016,2026-03-08
2026-03-06,Shipped,500017,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,3,CPT,CPT,297.00,,22.28,60.00,0.00,0.00,214.72,SHP-500017,510017,2026-03-07
2026-03-05,Shipped,500018,Demo Customer,Wireless Earbuds Pro ZA,KG-EARBUDS-PRO,200004,1,JHB,DBN,899.00,,67.43,60.00,0.00,75.00,696.57,SHP-500018,510018,2026-03-06
2026-03-04,Delivered,500019,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,1,JHB,JHB,149.00,,22.35,45.00,0.00,0.00,81.65,SHP-500019,510019,2026-03-05
2026-03-03,Shipped,500020,Demo Customer,Biltong Box 1kg Premium,KG-BILTONG-1KG,200003,1,CPT,CPT,299.00,,35.88,22.00,0.00,0.00,241.12,SHP-500020,510020,2026-03-04
2026-03-02,Shipped,500021,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,1,JHB,JHB,99.00,,8.50,60.00,0.00,0.00,30.50,SHP-500021,510021,2026-03-03
2026-03-01,Shipped,500022,Demo Customer,Baby Monitor WiFi,KG-BABY-MON-WIFI,200008,1,JHB,CPT,1999.00,,299.85,33.00,0.00,18.00,1648.15,SHP-500022,510022,2026-03-02
2026-02-28,Shipped,500023,Demo Customer,LED Smart Bulb 4-Pack,KG-LED-BULB-4PK,200012,1,JHB,JHB,599.00,,78.00,60.00,0.00,0.00,461.00,SHP-500023,510023,2026-03-01
2026-02-27,Shipped,500024,Demo Customer,Braai Master Tongs Set,KG-BRAAI-TONG-01,200001,1,JHB,JHB,349.00,,45.37,45.00,0.00,0.00,258.63,SHP-500024,510024,2026-02-28
2026-02-26,Shipped,500025,Demo Customer,Kids Safari Puzzle 500pc,KG-SAFARI-PUZZLE,200005,1,CPT,JHB,149.00,,22.35,45.00,0.00,18.00,63.65,SHP-500025,510025,2026-02-27
2026-02-25,Shipped,500026,Demo Customer,Rooibos Face Cream 50ml,KG-ROOIBOS-CRM-50,200002,1,CPT,CPT,199.00,,29.85,33.00,0.00,0.00,136.15,SHP-500026,510026,2026-02-26
2026-02-24,Shipped,500027,Demo Customer,Camping Chair Deluxe,KG-CAMP-CHAIR-DX,200006,1,JHB,CPT,1499.00,,179.88,65.00,0.00,75.00,1179.12,SHP-500027,510027,2026-02-25
2026-02-23,Shipped,500028,Demo Customer,Phone Case Ultra Thin,KG-PHONE-CASE-UT,200011,2,JHB,JHB,198.00,,14.85,60.00,0.00,0.00,123.15,SHP-500028,510028,2026-02-24
2026-02-22,Delivered,500029,Demo Customer,Yoga Mat Premium 6mm,KG-YOGA-MAT-6MM,200007,1,CPT,JHB,449.00,,53.88,60.00,0.00,75.00,260.12,SHP-500029,510029,2026-02-23
2026-02-21,Shipped,500030,Demo Customer,Garden Umbrella 3m,KG-UMBRELLA-3M,200009,1,JHB,JHB,2499.00,,299.88,130.00,0.00,0.00,2069.12,SHP-500030,510030,2026-02-22